test_date,struct_name,test_name,elapsed_time,num_iterations,time_per_iteration,num_operations,time_per_operation,passed_functionality_tests
2021-01-19 03:15:13.852379,StudentQueue,Min0,0.19706199999999996,10,0.019706199999999997,100000,1.9706199999999995e-06,True
2021-01-19 03:15:13.877447,Python deque,Min0,0.020172999999999996,10,0.0020172999999999996,100000,2.0172999999999997e-07,True
2021-01-19 03:15:14.019251,StudentQueue,Min1,0.13856700000000016,10,0.013856700000000017,100000,1.3856700000000016e-06,True
2021-01-19 03:15:14.042964,Python deque,Min1,0.020248000000000044,10,0.0020248000000000045,100000,2.0248000000000045e-07,True
2021-01-19 03:15:14.167411,StudentQueue,Append,0.10059999999999991,10,0.01005999999999999,100000,1.0059999999999991e-06,True
2021-01-19 03:15:14.177713,Python deque,Append,0.0065270000000000605,10,0.000652700000000006,100000,6.527000000000061e-08,True
2021-01-19 03:15:14.397243,StudentQueue,Pop,0.07636399999999999,10,0.007636399999999999,100000,7.636399999999999e-07,True
2021-01-19 03:15:14.413279,Python deque,Pop,0.011429000000000022,10,0.0011429000000000022,100000,1.1429000000000022e-07,True
2021-01-19 03:15:14.540857,StudentQueue,Insert_front,0.11094899999999985,10,0.011094899999999986,100000,1.1094899999999986e-06,True
2021-01-19 03:15:14.554926,Python deque,Insert_front,0.01014600000000021,10,0.001014600000000021,100000,1.014600000000021e-07,True
2021-01-19 03:15:14.682435,StudentQueue,Insert_back,0.12004799999999971,10,0.012004799999999972,100000,1.200479999999997e-06,True
2021-01-19 03:15:14.702518,Python deque,Insert_back,0.015599999999999836,10,0.0015599999999999837,100000,1.5599999999999835e-07,True
2021-01-19 03:15:47.284430,StudentQueue,Insert_random,32.29959,10,3.229959,100000,0.0003229959,True
2021-01-19 03:15:47.451795,Python deque,Insert_random,0.15989200000000636,10,0.015989200000000637,100000,1.5989200000000637e-06,True
2021-01-19 03:15:47.472987,StudentQueue,Length,1.3999999993075107e-05,10,1.3999999993075107e-06,100000,1.3999999993075108e-10,True
2021-01-19 03:15:47.475820,Python deque,Length,1.5000000011866632e-05,10,1.5000000011866631e-06,100000,1.5000000011866632e-10,True
